household_id,district,latitude,longitude,distribution_date,household_size,baseline_fuel_kg_person_week,distance_to_market_km,elevation_m,usage_month_1,usage_month_2,usage_month_3,usage_month_4,usage_month_5,usage_month_6,market_climb_index,dist_month,is_rainy_season,relative_remoteness,weekly_baseline_hh,avg_weekly_usage,pct_reduction,low_adoption
HH-02749,Rulindo,-1.77222,29.982423,2023-09-16,5.0,10.4,3.8,1817,22.5,22.3,23.2,26.5,20.0,28.2,6.904599999999999,9,1,0.04391931197072951,52.0,23.78333333333333,0.5426282051282052,0
HH-02303,Burera,-1.409374,29.715698,2024-06-23,4.0,,2.5,1945,25.9,24.7,25.2,25.3,24.7,28.5,4.8625,6,0,0.039294538853566936,,25.71666666666667,,0
HH-03933,Burera,-1.40039,29.81043,2023-02-20,3.0,7.6,0.9,1880,12.8,9.0,8.4,12.8,10.1,9.6,1.692,2,0,0.12765682011012774,22.799999999999997,10.450000000000001,0.5416666666666665,0
HH-05957,Musanze,-1.454169,29.599923,2024-06-07,4.0,9.8,0.7,1985,35.7,34.3,33.5,38.6,33.7,28.9,1.3895,6,0,0.020546303630839223,39.2,34.11666666666667,0.12967687074829937,1
HH-06132,Rulindo,-1.703627,30.014902,2023-07-17,5.0,6.3,4.7,1717,29.8,25.5,24.6,26.7,26.8,23.8,8.0699,7,0,0.06270117284939623,31.5,26.200000000000003,0.16825396825396816,1
HH-07597,Nyabihu,-1.603169,29.504712,2024-06-13,5.0,8.2,2.3,2624,37.0,35.1,39.5,37.3,40.1,32.9,6.0352,6,0,0.10147524642195932,41.0,36.98333333333333,0.0979674796747969,1
HH-00795,Nyabihu,-1.643259,29.470857,2024-03-18,5.0,7.0,3.9,2140,29.1,29.0,37.4,35.0,28.7,27.7,8.346,3,1,0.10292100761269282,35.0,31.149999999999995,0.11000000000000014,1
HH-03164,Burera,-1.435173,29.787613,2023-08-09,3.0,7.9,3.6,2171,19.8,21.6,26.0,19.9,22.1,23.8,7.8156,8,0,0.09934288545875104,23.700000000000003,22.200000000000003,0.06329113924050632,1
HH-07941,Musanze,-1.540565,29.634863,2024-01-29,4.0,9.5,3.4,1774,20.0,18.7,21.1,20.2,18.3,14.6,6.0316,1,0,0.09314494382972022,38.0,18.816666666666666,0.5048245614035087,0
HH-03182,Musanze,-1.499191,29.570776,2023-04-18,4.0,,5.7,1662,,33.8,34.6,29.4,30.2,35.8,9.4734,4,1,0.03692689756571816,,32.760000000000005,,0
HH-00764,Rulindo,-1.784542,29.963846,2023-03-25,5.0,8.9,16.6,1964,37.8,41.1,34.5,34.4,48.1,37.0,32.6024,3,1,0.05035043404321475,44.5,38.81666666666667,0.12771535580524337,1
HH-03079,Nyabihu,-1.613411,29.468736,2023-08-06,5.0,11.8,1.7,2362,26.5,30.5,30.3,23.3,29.4,20.1,4.0154,8,0,0.07822892849673062,59.0,26.683333333333334,0.5477401129943502,0
HH-00812,Rulindo,-1.714489,30.05366,2023-04-04,8.0,9.5,1.0,1813,68.9,,72.6,71.6,68.5,,1.813,4,1,0.09551396174471016,76.0,70.4,0.07368421052631571,1
HH-07260,Musanze,-1.524866,29.64688,2023-03-05,4.0,8.0,2.8,1614,32.6,27.1,31.0,28.9,32.6,27.1,4.5192,3,1,0.08908218965967393,32.0,29.88333333333333,0.06614583333333346,1
HH-06932,Nyabihu,-1.575684,29.537545,2024-02-14,6.0,10.6,2.3,2580,54.8,52.3,49.3,52.7,61.1,48.1,5.933999999999999,2,0,0.12473295506882143,63.599999999999994,53.050000000000004,0.16588050314465394,1
HH-01619,Burera,-1.432723,29.744194,2023-11-24,3.0,10.3,0.8,1816,23.4,27.6,23.9,31.1,28.9,29.8,1.4528,11,1,0.056102853339372996,30.900000000000002,27.450000000000003,0.11165048543689317,1
HH-06827,Nyabihu,-1.601857,29.481875,2024-06-03,5.0,12.0,10.5,2390,29.8,29.5,36.2,28.0,27.4,22.8,25.095000000000002,6,0,0.08102251863999659,60.0,28.950000000000003,0.5175,0
HH-01043,Musanze,-1.531568,29.694394,2024-06-23,6.0,7.1,0.6,1772,22.9,21.9,19.2,24.1,20.1,18.7,1.0632,6,0,0.13127357374593915,42.599999999999994,21.15,0.5035211267605634,0
HH-05319,Nyabihu,-1.572406,29.502174,2024-01-07,3.0,8.7,3.5,2194,21.5,26.7,24.0,23.0,21.0,22.9,7.679,1,0,0.08928555667592777,26.099999999999998,23.183333333333334,0.11174968071519788,1
HH-04795,Musanze,-1.541447,29.699438,2023-08-10,4.0,10.9,13.4,1881,31.7,40.9,46.1,46.7,37.5,41.7,25.2054,8,0,0.1408070641947354,43.6,40.76666666666666,0.06498470948012254,1
HH-00488,Musanze,-1.499922,29.607333,2023-01-19,5.0,6.2,2.3,1970,16.1,13.1,13.5,16.8,11.7,12.5,4.531,1,0,0.04406079435044427,31.0,13.950000000000001,0.5499999999999999,0
HH-01018,Burera,-1.429936,29.706486,2024-02-18,4.0,7.9,5.1,1759,26.5,27.7,28.4,24.2,31.4,33.7,8.970899999999999,2,0,0.019713224368163588,31.6,28.649999999999995,0.09335443037974703,1
HH-02816,Rulindo,-1.720567,30.1,2023-08-08,3.0,10.9,1.7,1925,14.1,16.4,16.6,15.2,13.5,12.6,3.2725,8,0,0.14044737728317372,32.7,14.733333333333333,0.5494393476044852,0
HH-02717,Burera,-1.485891,29.845396,2023-08-05,3.0,7.7,1.9,2050,10.1,14.4,11.3,10.8,10.4,12.5,3.8949999999999996,8,0,0.16437004383720247,23.1,11.583333333333334,0.4985569985569986,0
HH-05364,Rulindo,-1.720341,29.96848,2024-03-31,6.0,7.7,1.0,1555,22.7,20.0,17.1,23.4,19.7,20.0,1.555,3,1,0.01623453547313947,46.2,20.483333333333334,0.5566378066378066,0
HH-02930,Musanze,-1.493879,29.638685,2023-06-20,5.0,12.5,13.6,1848,49.9,49.3,60.8,53.4,60.4,49.3,25.1328,6,0,0.06421284855798882,62.5,53.85,0.13839999999999997,1
HH-03363,Rulindo,-1.718059,30.033445,2024-01-09,5.0,6.1,3.6,2052,28.9,25.3,30.9,33.0,31.4,25.1,7.3872,1,0,0.07500158453991591,30.5,29.099999999999998,0.04590163934426236,1
HH-05166,Gakenke,-1.679227,29.823159,2024-01-29,5.0,7.8,1.7,2148,22.6,13.8,17.0,15.7,22.2,15.4,3.6516,1,0,0.039568729059763594,39.0,17.783333333333335,0.544017094017094,0
HH-01076,Musanze,-1.537986,29.648151,2023-10-22,3.0,11.5,1.7,1971,20.3,16.4,12.0,19.7,15.5,16.7,3.3507000000000002,10,1,0.0993610481035533,34.5,16.76666666666667,0.5140096618357487,0
HH-06399,Musanze,-1.454069,29.646413,2023-09-07,5.0,4.9,10.2,2127,24.0,23.9,20.7,19.4,23.6,20.8,21.695399999999996,9,1,0.06530366062800576,24.5,22.066666666666666,0.09931972789115648,1
HH-04982,Musanze,-1.452269,29.60854,2023-01-11,5.0,10.9,4.0,1776,24.8,27.3,24.8,29.1,29.0,28.5,7.104,1,0,0.029128662978952922,54.5,27.25,0.5,0
HH-06229,Rulindo,-1.721707,30.058463,2024-06-13,6.0,11.6,1.7,1908,43.7,31.7,26.6,31.1,31.0,36.1,3.2436,6,0,0.09904185833042643,69.6,33.36666666666667,0.5205938697318008,0
HH-02922,Rulindo,-1.776029,30.075948,2023-06-01,4.0,7.3,0.5,2135,14.1,14.6,15.7,14.0,15.9,10.8,1.0675,6,0,0.12300676641354337,29.2,14.183333333333332,0.5142694063926941,0
HH-04020,Musanze,-1.528006,29.586886,2023-12-17,5.0,10.1,3.2,1973,25.2,21.7,25.6,18.9,28.0,25.2,6.313600000000001,12,1,0.06423451458726702,50.5,24.099999999999998,0.5227722772277228,0
HH-04332,Nyabihu,-1.628357,29.518454,2024-02-19,4.0,9.7,1.2,2579,,36.9,29.3,36.1,39.4,30.7,3.0948,2,0,0.12616182986604554,38.8,34.480000000000004,0.11134020618556684,1
HH-07000,Burera,-1.43514,29.700728,2023-10-26,2.0,10.3,1.1,1952,18.1,17.4,17.9,17.2,16.8,18.7,2.1472,10,1,0.012659249605621245,20.6,17.683333333333334,0.1415857605177994,1
HH-01323,Gakenke,-1.609704,29.755893,2023-08-08,2.0,9.1,1.3,2191,16.6,16.5,13.4,15.5,16.3,15.5,2.8483,8,0,0.06849720438482418,18.2,15.633333333333333,0.14102564102564102,1
HH-07732,Nyabihu,-1.556953,29.545256,2023-09-14,4.0,12.2,11.5,2446,24.9,23.6,26.9,25.9,19.0,27.4,28.129,9,1,0.1310911464870214,48.8,24.61666666666667,0.49556010928961736,0
HH-02253,Rulindo,-1.72579,30.047079,2023-08-26,5.0,7.6,1.0,2042,18.4,23.3,17.8,15.9,18.8,15.7,2.042,8,0,0.08726926519969212,38.0,18.316666666666666,0.5179824561403509,0
HH-06655,Musanze,-1.535144,29.593792,2023-11-13,5.0,7.5,8.0,2145,22.2,23.8,18.8,18.0,17.1,19.3,17.16,11,1,0.07216845488207994,37.5,19.866666666666667,0.4702222222222222,0
HH-07245,Musanze,-1.514935,29.684167,2023-09-25,5.0,9.1,2.2,1956,33.8,42.2,39.8,39.2,46.0,38.0,4.3032,9,1,0.11429581014975862,45.5,39.833333333333336,0.12454212454212449,1
HH-00867,Nyabihu,-1.567764,29.493119,2024-06-13,4.0,7.1,2.3,2290,25.2,26.9,28.0,26.4,23.4,31.0,5.2669999999999995,6,0,0.07963618180580534,28.4,26.816666666666666,0.055751173708920146,1
HH-05592,Burera,-1.475899,29.84527,2023-10-11,4.0,11.0,14.9,1834,21.7,25.3,22.2,20.4,23.1,19.8,27.326600000000003,10,1,0.16159062563993937,44.0,22.083333333333332,0.4981060606060606,0
HH-02466,Nyabihu,-1.578373,29.512017,2024-06-02,6.0,11.7,16.8,2343,62.6,50.8,55.5,53.2,58.4,62.7,39.3624,6,0,0.10008249918304692,70.19999999999999,57.199999999999996,0.18518518518518512,1
HH-00466,Musanze,-1.467266,29.575018,2023-01-02,5.0,4.2,2.1,1809,12.3,10.0,9.8,9.1,8.0,10.9,3.7989,1,0,0.00759891956703102,21.0,10.016666666666667,0.5230158730158729,0
HH-02883,Nyabihu,-1.600674,29.530851,2023-07-31,5.0,8.0,4.0,2427,22.0,21.7,23.2,21.1,14.2,19.0,9.708,7,0,0.1244656461101981,40.0,20.2,0.495,0
HH-04962,Nyabihu,-1.620652,29.453507,2023-03-04,6.0,12.6,5.4,2295,59.4,,63.7,75.7,54.2,81.2,12.393,3,1,0.07452352409279135,75.6,66.84,0.11587301587301577,1
HH-07043,Burera,-1.426379,29.834357,2024-06-08,2.0,11.5,8.6,2173,19.6,17.7,18.6,22.0,21.7,19.6,18.6878,6,0,0.14648448796208596,23.0,19.86666666666667,0.13623188405797085,1
HH-06241,Gakenke,-1.745753,29.788498,2024-05-27,5.0,9.3,1.0,2041,20.4,16.8,17.1,23.4,19.1,19.8,2.041,5,1,0.07381758902677601,46.5,19.433333333333334,0.582078853046595,0
HH-05448,Burera,-1.4544,29.831089,2024-06-14,4.0,8.7,2.2,1718,19.7,15.8,15.4,17.2,13.4,11.4,3.7796000000000003,6,0,0.1437826228566226,34.8,15.483333333333334,0.5550766283524904,0
HH-01503,Nyabihu,-1.599157,29.465071,2023-02-04,3.0,9.8,2.0,2451,22.5,26.9,26.2,,25.1,27.6,4.902,2,0,0.06586685364677801,29.400000000000002,25.659999999999997,0.12721088435374167,1
HH-03916,Musanze,-1.529878,29.689706,2023-12-24,5.0,11.0,3.3,1952,30.6,32.0,28.6,26.3,21.4,27.2,6.441599999999999,12,1,0.12638835191798492,55.0,27.683333333333334,0.49666666666666665,0
HH-03263,Musanze,-1.506337,29.570184,2024-01-13,4.0,10.5,1.9,1860,41.4,30.5,44.3,38.6,37.9,41.6,3.534,1,0,0.04394934982990968,42.0,39.050000000000004,0.07023809523809514,1
HH-00264,Burera,-1.48319,29.751817,2024-02-15,4.0,6.8,7.9,1899,22.5,24.6,22.7,24.2,27.0,21.8,15.0021,2,0,0.07822119140470045,27.2,23.8,0.12499999999999994,1
HH-03807,Musanze,-1.481253,29.559072,2024-06-23,7.0,7.5,2.4,1658,50.2,44.8,45.7,,43.8,49.6,3.9791999999999996,6,0,0.028604930516101638,52.5,46.82,0.10819047619047618,1
HH-04085,Nyabihu,-1.644725,29.532834,2024-05-07,4.0,8.2,4.6,2475,25.0,29.3,26.3,26.4,32.8,24.5,11.385,5,1,0.14736020698713487,32.8,27.383333333333336,0.16514227642276405,1
HH-07840,Gakenke,-1.602937,29.843999,2023-05-09,4.0,9.1,5.2,1856,37.4,29.1,30.7,36.3,31.2,28.2,9.651200000000001,5,1,0.09136871586378947,36.4,32.15,0.11675824175824176,1
HH-01812,Rulindo,-1.745203,30.082609,2023-09-02,4.0,5.7,1.0,1970,11.3,12.1,8.7,9.8,10.4,11.5,1.97,9,1,0.12286400781235514,22.8,10.633333333333331,0.5336257309941521,0
HH-01145,Musanze,-1.532908,29.600626,2024-05-27,3.0,6.0,2.4,1964,6.6,9.1,8.9,9.8,8.2,6.4,4.7136,5,1,0.07144734204461932,18.0,8.166666666666668,0.5462962962962963,0
HH-05828,Nyabihu,-1.620628,29.470001,2023-08-02,4.0,8.0,2.2,2414,29.5,25.8,29.6,32.0,27.8,30.7,5.3108,8,0,0.0843834591510009,32.0,29.233333333333334,0.0864583333333333,1
HH-02150,Rulindo,-1.727315,30.022235,2023-05-20,6.0,9.8,0.8,1895,36.5,30.9,33.8,26.3,24.5,26.2,1.516,5,1,0.062401838763208636,58.800000000000004,29.7,0.4948979591836735,0
HH-03930,Nyabihu,-1.602632,29.503217,2023-04-20,5.0,8.2,5.3,2323,17.4,20.8,22.5,17.8,16.7,16.9,12.3119,4,1,0.09989902416841652,41.0,18.683333333333334,0.5443089430894309,0
HH-06320,Nyabihu,-1.637521,29.524424,2024-02-13,5.0,10.7,1.6,2289,50.0,41.3,43.8,54.9,42.5,47.3,3.6624000000000003,2,0,0.1363190481560336,53.5,46.63333333333333,0.12834890965732088,1
HH-03291,Nyabihu,-1.634374,29.513433,2024-06-21,4.0,5.0,1.2,2462,15.8,18.2,21.9,19.8,16.6,20.4,2.9544,6,0,0.12563974839293446,20.0,18.783333333333335,0.06083333333333325,1
HH-00683,Nyabihu,-1.633825,29.484947,2023-09-04,7.0,7.7,1.7,2485,26.1,27.7,22.4,28.5,25.5,25.3,4.2245,9,1,0.10419725770298194,53.9,25.916666666666668,0.5191713048855906,0
HH-02841,Musanze,-1.55,29.586763,2023-08-17,5.0,7.8,1.0,1788,17.6,20.0,17.6,15.3,17.6,19.2,1.788,8,0,0.086171269020591,39.0,17.883333333333333,0.5414529914529914,0
HH-01003,Gakenke,-1.621798,29.836821,2023-12-24,5.0,7.8,2.6,2055,39.4,37.1,32.8,32.5,29.3,34.0,5.343000000000001,12,1,0.07273440216216548,39.0,34.18333333333334,0.12350427350427341,1
HH-06756,Musanze,-1.47898,29.573188,2023-07-04,4.0,9.6,1.5,1966,29.2,40.7,36.4,37.6,38.8,41.7,2.949,7,0,0.01733867598757661,38.4,37.4,0.026041666666666668,1
HH-05130,Gakenke,-1.69376,29.859878,2023-10-22,3.0,8.9,0.9,1920,22.0,21.1,23.7,27.6,19.6,25.9,1.728,10,1,0.07868486757445432,26.700000000000003,23.316666666666666,0.12671660424469425,1
HH-04291,Burera,-1.499253,29.828741,2023-06-28,5.0,9.2,5.6,1999,23.5,,18.4,24.9,20.6,16.9,11.1944,6,0,0.15340356655080403,46.0,20.860000000000003,0.5465217391304347,0
HH-02174,Gakenke,-1.608674,29.88242,2024-04-26,4.0,9.3,2.9,2028,29.7,,32.0,31.5,30.0,29.3,5.8812,4,1,0.11685821200085697,37.2,30.5,0.1801075268817205,1
HH-00484,Burera,-1.475929,29.751817,2023-09-04,3.0,7.8,4.0,2084,25.1,22.5,22.3,21.2,18.0,23.2,8.336,9,1,0.0742182335049577,23.4,22.05,0.057692307692307605,1
HH-03814,Burera,-1.446568,29.820777,2023-12-13,4.0,10.5,2.3,1949,16.5,19.1,21.3,21.1,17.9,16.8,4.4826999999999995,12,1,0.13278595009349328,42.0,18.783333333333335,0.5527777777777777,0
HH-04415,Musanze,-1.46074,29.567162,2023-11-12,5.0,8.7,2.8,1952,21.1,19.2,21.8,22.7,18.9,21.2,5.465599999999999,11,1,0.01505220582500028,43.5,20.816666666666666,0.521455938697318,0
HH-00519,Gakenke,-1.741371,29.821733,2023-03-24,5.0,9.8,0.8,1943,50.9,44.6,48.2,44.2,49.0,41.9,1.5544000000000002,3,1,0.07880120434567733,49.0,46.46666666666666,0.05170068027210895,1
HH-06989,Nyabihu,-1.631469,29.51794,2023-06-14,4.0,9.8,4.3,2284,20.7,19.8,20.3,20.7,19.2,14.1,9.8212,6,0,0.1275203468180688,39.2,19.133333333333333,0.511904761904762,0
HH-01346,Musanze,-1.454608,29.636653,2023-02-16,6.0,9.9,2.5,1675,24.3,31.7,23.4,31.5,31.3,29.8,4.1875,2,0,0.05558280426380753,59.400000000000006,28.66666666666667,0.5173961840628507,0
HH-00697,Musanze,-1.495231,29.577479,2025-06-15,6.0,8.7,3.5,2074,21.1,27.5,23.9,27.7,22.4,23.3,7.2589999999999995,6,0,0.03156892075852214,52.199999999999996,24.316666666666666,0.5341634738186462,0
HH-01010,Burera,-1.443414,29.785384,2024-03-30,6.0,9.6,0.5,1784,54.9,44.6,54.3,51.7,59.4,52.5,0.892,3,1,0.09726322669091218,57.599999999999994,52.9,0.08159722222222215,1
HH-06318,Burera,-1.41775,29.709406,2024-02-03,6.0,7.1,4.6,1721,24.7,19.6,20.9,19.9,17.8,15.6,7.9166,2,0,0.02893396956037835,42.599999999999994,19.749999999999996,0.5363849765258216,0
HH-06596,Musanze,-1.503183,29.636361,2023-05-28,6.0,7.3,3.8,1864,24.2,21.9,18.7,25.6,18.9,24.0,7.0832,5,1,0.06713965429204131,43.8,22.21666666666667,0.4927701674277016,0
HH-02771,Nyabihu,-1.55,29.502088,2024-05-17,6.0,6.6,6.4,2446,34.5,34.9,28.7,32.0,33.4,32.1,15.654400000000003,5,1,0.08822995168316967,39.599999999999994,32.6,0.1767676767676766,1
HH-01075,Gakenke,-1.631505,29.86084,2023-04-06,4.0,6.4,6.4,2050,13.7,14.4,11.7,11.7,8.9,9.9,13.12,4,1,0.08666789204450115,25.6,11.716666666666667,0.5423177083333334,0
HH-01340,Nyabihu,-1.633904,29.495824,2023-06-20,2.0,11.7,6.0,2477,13.5,10.8,11.5,12.3,,12.2,14.861999999999998,6,0,0.11192518323785915,23.4,12.059999999999999,0.4846153846153846,0
HH-02987,Nyabihu,-1.643397,29.507326,2023-06-10,3.0,10.3,2.2,2477,25.3,30.9,27.7,24.1,24.6,30.7,5.4494,6,0,0.12681251958670292,30.900000000000002,27.216666666666665,0.11920172599784262,1
HH-07710,Rulindo,-1.789629,30.064801,2023-04-28,2.0,7.9,7.2,1823,7.9,8.1,7.4,6.6,5.3,8.6,13.1256,4,1,0.1182981452642534,15.8,7.316666666666666,0.5369198312236287,0
HH-06748,Nyabihu,-1.599689,29.465894,2024-02-06,2.0,6.6,1.0,2732,9.8,10.9,11.7,11.1,9.8,14.2,2.732,2,0,0.06684060359832236,13.2,11.250000000000002,0.14772727272727254,1
HH-04422,Gakenke,-1.685459,29.865713,2024-05-29,5.0,12.5,4.0,1857,45.1,57.5,65.9,67.6,61.8,64.0,7.428,5,1,0.08256271389767468,62.5,60.31666666666666,0.03493333333333339,1
HH-03393,Gakenke,-1.647596,29.849858,2023-07-20,5.0,9.9,2.2,1870,39.2,48.9,40.7,40.5,39.4,52.6,4.114000000000001,7,0,0.07002457235178265,49.5,43.550000000000004,0.12020202020202012,1
HH-01484,Nyabihu,-1.609846,29.539503,2023-12-27,5.0,8.0,8.1,2404,18.5,21.3,17.0,14.0,16.3,15.1,19.472399999999997,12,1,0.13588368497055894,40.0,17.03333333333333,0.5741666666666667,0
HH-04862,Rulindo,-1.724886,30.013709,2023-02-03,4.0,4.0,3.0,1866,8.9,7.4,8.8,6.0,8.6,6.8,5.598000000000001,2,0,0.05430721727227792,16.0,7.75,0.515625,0
HH-01935,Rulindo,-1.751181,30.082719,2024-06-08,5.0,7.4,5.9,1951,35.5,27.4,34.8,33.5,34.4,33.2,11.510900000000001,6,0,0.12364599967261347,37.0,33.13333333333333,0.10450450450450452,1
HH-01035,Nyabihu,-1.6343,29.520893,2023-09-10,4.0,7.8,13.2,2298,32.9,29.2,25.2,30.5,31.8,21.8,30.3336,9,1,0.1315700444633069,31.2,28.566666666666666,0.0844017094017094,1
HH-05485,Rulindo,-1.763534,30.088433,2023-06-03,2.0,7.2,13.2,1916,6.3,7.3,5.5,7.4,7.8,5.5,25.291199999999996,6,0,0.1314911944034239,14.4,6.633333333333333,0.5393518518518519,0
HH-02479,Nyabihu,-1.585498,29.510853,2023-01-07,6.0,8.4,6.9,2403,43.1,49.7,46.6,42.7,39.1,45.0,16.5807,1,0,0.10069894720386047,50.400000000000006,44.366666666666674,0.11970899470899465,1
HH-00350,Burera,-1.416809,29.813555,2023-11-01,6.0,4.2,3.3,1868,24.5,20.6,,23.7,21.0,21.9,6.1644,11,1,0.12696065316389432,25.200000000000003,22.339999999999996,0.11349206349206374,1
HH-04394,Nyabihu,-1.562932,29.454973,2023-12-26,3.0,10.2,2.1,2363,13.4,13.9,14.8,12.9,15.2,14.6,4.9623,12,1,0.0411863028952873,30.599999999999998,14.133333333333333,0.5381263616557734,0
HH-04353,Musanze,-1.510574,29.658983,2023-10-07,5.0,7.2,1.7,2193,20.3,15.6,18.4,15.7,16.2,20.9,3.7281,10,1,0.09010800556628791,36.0,17.849999999999998,0.5041666666666668,0
HH-07558,Burera,-1.491341,29.750842,2024-01-14,4.0,9.2,3.0,1894,32.5,39.4,33.8,31.9,32.7,26.6,5.6819999999999995,1,0,0.08250012527447977,36.8,32.81666666666667,0.10824275362318825,1
HH-01062,Gakenke,-1.682556,29.869758,2023-04-06,4.0,7.6,14.0,1684,27.5,25.7,31.6,26.1,28.6,21.4,23.576,4,1,0.08615486201615635,30.4,26.816666666666666,0.11787280701754382,1
HH-00880,Musanze,-1.542299,29.604505,2023-12-25,5.0,6.6,3.4,1765,12.6,16.0,13.7,14.4,19.6,15.9,6.0009999999999994,12,1,0.08153738459320115,33.0,15.366666666666667,0.5343434343434343,0
HH-05603,Nyabihu,-1.57712,29.507402,2024-03-05,4.0,8.4,2.1,2392,25.6,27.9,30.9,,28.7,25.9,5.0232,3,1,0.0953076300624477,33.6,27.8,0.17261904761904764,1
HH-02543,Rulindo,-1.719347,29.996068,2023-11-11,3.0,9.8,0.5,1664,13.2,14.3,15.9,,12.4,,0.832,11,1,0.03884281166220125,29.400000000000002,13.95,0.5255102040816327,0
HH-06424,Musanze,-1.469249,29.606828,2024-04-19,4.0,5.8,22.5,1895,19.0,19.6,22.6,18.1,22.9,23.9,42.6375,4,1,0.02551646738755917,23.2,21.01666666666667,0.09410919540229871,1
HH-06745,Burera,-1.405005,29.767102,2024-02-09,5.0,0.2,1.6,2153,19.6,18.1,22.3,17.4,21.9,16.0,3.4448000000000003,2,0,0.08525573666134365,1.0,19.21666666666667,-18.21666666666667,1
HH-01851,Musanze,-1.48949,29.577151,2024-03-04,5.0,10.0,14.5,1932,37.0,46.3,46.8,44.9,47.9,43.3,28.014,3,1,0.025953408112286913,50.0,44.36666666666667,0.11266666666666665,1
